Advisor Advisors
Ally Allies
Angel Angels
Anteater Anteaters
Antelope Antelopes
Ape Apes
Archer Archers
Archon Archons
Artificer Artificers
Assassin Assassins
Assembly-Worker Assembly-Workers
Atog Atogs
Aurochs Aurochs
Avatar Avatars
Badger Badgers
Barbarian Barbarians
Basilisk Basilisks
Bat Bats
Bear Bears
Beast Beasts
Beeble Beebles
Berserker Berserkers
Bird Birds
Blinkmoth Blinkmoths
Boar Boars
Bringer Bringers
Brushwagg Brushwaggs
Camarid Camarids
Camel Camels
Caribou Caribous
Carrier Carriers
Cat Cats
Centaur Centaurs
Cephalid Cephalids
Chimera Chimeras
Citizen Citizens
Cleric Clerics
Cockatrice Cockatrices
Construct Constructs
Coward Cowards
Crab Crabs
Crocodile Crocodiles
Cyclops Cyclops
Dauthi Dauthis
Demon Demons
Deserter Deserters
Devil Devils
Djinn Djinns
Dragon Dragons
Drake Drakes
Dreadnought Dreadnoughts
Drone Drones
Druid Druids
Dryad Dryads
Dwarf Dwarfs
Efreet Efreets
Elder Elders
Eldrazi Eldrazis
Elemental Elementals
Elephant Elephants
Elf Elfs
Elk Elks
Eye Eyes
Faerie Faeries
Ferret Ferrets
Fish Fishs
Flagbearer Flagbearers
Fox Foxs
Frog Frogs
Fungus Fungi
Gargoyle Gargoyles
Germ Germs
Giant Giants
Gnome Gnomes
Goat Goats
Goblin Goblins
Golem Golems
Gorgon Gorgons
Graveborn Graveborns
Gremlin Gremlins
Griffin Griffins
Hag Hags
Harpy Harpies
Hellion Hellions
Hippo Hippos
Hippogriff Hippogriffs
Homarid Homarids
Homunculus Homunculi
Horror Horrors
Horse Horses
Hound Hounds
Human Humans
Hydra Hydras
Hyena Hyenas
Illusion Illusions
Imp Imps
Incarnation Incarnations
Insect Insects
Jellyfish Jellyfishes
Juggernaut Juggernauts
Kavu Kavus
Kirin Kirins
Kithkin Kithkins
Knight Knights
Kobold Kobolds
Kor Kors
Kraken Krakens
Lammasu Lammasus
Leech Leechs
Leviathan Leviathans
Lhurgoyf Lhurgoyfs
Licid Licids
Lizard Lizards
Manticore Manticores
Masticore Masticores
Mercenary Mercenarys
Merfolk Merfolks
Metathran Metathrans
Minion Minions
Minotaur Minotaurs
Monger Mongers
Mongoose Mongeese
Monk Monks
Moonfolk Moonfolks
Mutant Mutants
Myr Myrs
Mystic Mystics
Nautilus Nautili
Nephilim Nephilims
Nightmare Nightmares
Nightstalker Nightstalkers
Ninja Ninjas
Noggle Noggles
Nomad Nomads
Octopus Octopi
Ogre Ogres
Ooze Oozes
Orb Orbs
Orc Orcs
Orgg Orggs
Ouphe Ouphes
Ox Oxs
Oyster Oysters
Pegasus Pegasi
Pentavite Pentavites
Pest Pests
Phelddagrif Phelddagrifs
Phoenix Phoenixes
Pincher Pinchers
Pirate Pirates
Plant Plants
Praetor Praetors
Prism Prisms
Rabbit Rabbits
Rat Rats
Rebel Rebels
Reflection Reflections
Rhino Rhinos
Rigger Riggers
Rogue Rogues
Salamander Salamanders
Samurai Samurais
Sand Sands
Saproling Saprolings
Satyr Satyrs
Scarecrow Scarecrows
Scorpion Scorpions
Scout Scouts
Serf Serves
Serpent Serpents
Shade Shades
Shaman Shamans
Shapeshifter Shapeshifters
Sheep
Siren Sirens
Skeleton Skeletons
Slith Sliths
Sliver Slivers
Slug Slugs
Snake Snakes
Soldier Soldiers
Soltari Soltaris
Spawn Spawns
Specter Specters
Spellshaper Spellshapers
Sphinx Sphinxs
Spider Spiders
Spike Spikes
Spirit Spirits
Splinter Splinters
Sponge Sponges
Squid Squids
Squirrel Squirrels
Starfish Starfishes
Surrakar Surrakars
Survivor Survivors
Tetravite Tetravites
Thalakos Thalakoss
Thopter Thopters
Thrull Thrulls
Treefolk Treefolks
Triskelavite Triskelavites
Troll Trolls
Turtle Turtles
Unicorn Unicorns
Vampire Vampires
Vedalken Vedalkens
Viashino Viashinos
Volver Volvers
Wall Walls
Warrior Warriors
Weird Weirds
Werewolf Werewolfs
Whale Whales
Wizard Wizards
Wolf Wolfs
Wolverine Wolverines
Wombat Wombats
Worm Worms
Wraith Wraiths
Wurm Wurms
Yeti Yetis
Zombie Zombies
Zubera Zuberas
